Total Applicants,Quota,Permits Issued,Reports Returned,Total Harvest,Hunters,Hunter Days,Days/Kill,Hunter Success
"7,604",4,4,4,4,4,14,4,100%
"3,246",2,2,2,2,2,7,4,100%
"6,135",3,3,3,3,3,5,2,100%
"8,549",2,2,2,2,2,4,2,100%
"3,374",2,2,2,2,2,16,8,100%
"7,867",2,2,2,2,2,6,3,100%
"6,424",2,2,2,2,2,3,2,100%
"2,706",1,1,1,1,1,23,23,100%
"4,469",10,10,10,7,9,24,3,78%
"4,285",8,8,8,8,8,17,2,100%
"3,113",1,1,1,1,1,2,2,100%
"4,321",4,4,4,4,4,7,2,100%
"1,700",2,2,2,2,2,4,2,100%
255,3,3,3,3,3,19,7,100%
319,2,2,2,2,2,2,1,100%
