Weapon Type,General Season Harvest,Permit Season Harvest,Total Harvest,Antlered Harvest,Antlerless Harvest,Hunters,Hunter Success
Archery,"1,106",131,"1,237",772,465,"12,507",10%
Modern Firearm,"1,956",669,"2,625","1,870",755,"28,086",9%
Muzzleloader,946,201,"1,147",788,359,"9,496",12%
Statewide Total,"4,008","1,001","5,009","3,430","1,579","50,089",10%
Archery,"19,286","11,456",730,376,"1,106",10%,
Modern Firearm,"59,872","26,110","1,695",261,"1,956",7%,
Muzzleloader,"14,488","8,645",738,208,946,11%,
Statewide Total,"93,646","46,211","3,163",845,"4,008",9%,
Archery,"1,051",42,89,131,12%,,
Modern Firearm,"1,976",175,494,669,34%,,
Muzzleloader,851,50,151,201,24%,,
Statewide Total,"3,878",267,734,"1,001",26%,,
General,946,757,134,30,164,22%,
Special,946,99,10,23,33,33%,
