Total Applicants,Quota,Permits Issued,Reports Returned,Total Harvest,Males Killed,Females Killed,Hunters,Hunter Days,Days/Kill,Hunter Success
"6,405",10,10,9,8,8,0,9,107,13,89%
"2,016",4,4,4,2,2,0,3,30,15,67%
"1,393",4,4,3,2,2,0,3,23,12,67%
"2,031",3,3,2,1,1,0,2,49,49,50%
"1,474",3,3,3,1,1,0,3,63,63,33%
"6,698",15,15,15,12,12,0,15,176,15,80%
"10,918",12,12,11,10,10,0,11,90,9,91%
"8,363",12,12,10,7,7,0,9,77,11,78%
"8,508",10,10,8,8,8,0,8,56,7,100%
"6,439",10,10,9,9,9,0,9,69,8,100%
905,2,2,2,2,2,0,2,8,4,100%
"3,328",8,8,8,8,8,0,8,54,7,100%
"3,646",8,8,7,6,6,0,7,55,9,86%
796,4,4,3,3,3,0,3,48,16,100%
"3,384",2,2,2,0,0,0,2,44,0,0%
"3,843",2,2,2,1,0,1,2,54,54,50%
"8,895",2,2,2,1,0,1,1,12,12,100%
"8,975",8,8,7,7,0,7,7,17,2,100%
"1,441",2,2,2,1,0,1,1,9,9,100%
"4,467",2,2,2,1,0,1,2,12,12,50%
"5,090",2,1,1,1,0,1,1,5,5,100%
"1,110",2,2,2,0,0,0,2,18,0,0%
863,2,2,2,1,0,1,2,14,14,50%
"2,287",1,1,1,1,0,1,1,18,18,100%
"1,774",1,1,1,0,0,0,1,8,0,0%
"1,709",2,2,2,2,0,2,2,4,2,100%
900,1,1,1,1,0,1,1,10,10,100%
749,1,1,1,1,0,1,1,12,12,100%
