Season,PMU,PMU Name,Total Harvest,Number Hunters,Hunter Success Rate,Hunter Days,Days/Kill
Fall,P10,NORTHEAST,"1,646","2,668",62%,"17,826",11
Spring,P10,NORTHEAST,"4,479","7,451",60%,"42,660",10
Fall,P15,SOUTHEAST,497,747,67%,"8,264",17
Spring,P15,SOUTHEAST,645,"1,350",48%,"8,410",13
Fall,P20,NORTH CENTRAL,200,638,31%,"3,222",16
Spring,P20,NORTH CENTRAL,371,"1,258",29%,"6,032",16
Spring,P30,SOUTH CENTRAL,195,"1,244",16%,"5,019",26
Fall,P35,KLICKITAT,147,429,34%,"1,873",13
Spring,P35,KLICKITAT,462,"1,606",29%,"8,067",17
Spring,P40,NORTHWEST,7,57,12%,205,29
Spring,P50,SOUTHWEST,33,170,19%,975,30
Permit Hunts,3,,,,,,
Total,"8,685",,,,,,
